Date,Price,Open,High,Low,Vol.,Change %
20-Jan-22,1.3409 ,1.3367 ,1.3719 ,1.3171,351.59M,0.31%
19-Jan-22,1.3368 ,1.4582 ,1.5323 ,1.327,502.95M,-8.33%
18-Jan-22,1.4582 ,1.6016 ,1.6349 ,1.4139,651.50M,-8.95%
17-Jan-22,1.6015 ,1.4109 ,1.6034 ,1.3878,772.27M,13.51%
16-Jan-22,1.4109 ,1.2921 ,1.4211 ,1.287,355.88M,9.19%
15-Jan-22,1.2922 ,1.2927 ,1.3177 ,1.2519,127.21M,-0.04%
14-Jan-22,1.2927 ,1.2318 ,1.3088 ,1.2226,228.54M,5.07%
13-Jan-22,1.2304 ,1.3075 ,1.3527 ,1.2287,272.21M,-5.77%
12-Jan-22,1.3057 ,1.1862 ,1.3068 ,1.1862,219.06M,10.07%
11-Jan-22,1.1862 ,1.1238 ,1.1949 ,1.122,177.14M,5.53%
10-Jan-22,1.1240 ,1.1693 ,1.1802 ,1.0727,273.56M,-3.87%
9-Jan-22,1.1692 ,1.1812 ,1.2050 ,1.148,166.87M,-1.01%
8-Jan-22,1.1812 ,1.2093 ,1.2530 ,1.1293,249.83M,-2.15%
7-Jan-22,1.2071 ,1.2808 ,1.2834 ,1.191,307.47M,-5.76%
6-Jan-22,1.2808 ,1.2292 ,1.2965 ,1.1878,254.04M,4.20%
5-Jan-22,1.2292 ,1.3099 ,1.3520 ,1.1939,222.29M,-6.16%
4-Jan-22,1.3099 ,1.3191 ,1.3509 ,1.296,137.65M,-0.69%
3-Jan-22,1.3191 ,1.3779 ,1.3779 ,1.3104,125.09M,-4.27%
2-Jan-22,1.3780 ,1.3789 ,1.3900 ,1.343,115.33M,-0.07%
1-Jan-22,1.3789 ,1.3088 ,1.3789 ,1.3067,104.96M,5.34%
31-Dec-21,1.3090 ,1.3580 ,1.3819 ,1.2819,184.18M,-3.67%
30-Dec-21,1.3589 ,1.3307 ,1.3778 ,1.2992,195.11M,2.14%
29-Dec-21,1.3304 ,1.3998 ,1.4368 ,1.3247,229.60M,-4.85%
28-Dec-21,1.3982 ,1.5142 ,1.5381 ,1.3792,347.26M,-7.65%
27-Dec-21,1.5139 ,1.4543 ,1.5912 ,1.451,265.20M,4.10%
26-Dec-21,1.4544 ,1.4529 ,1.4669 ,1.4089,160.28M,0.10%
25-Dec-21,1.4529 ,1.3913 ,1.4598 ,1.3833,138.23M,4.43%
24-Dec-21,1.3913 ,1.4733 ,1.4899 ,1.3829,193.99M,-5.55%
23-Dec-21,1.4731 ,1.3271 ,1.4898 ,1.3089,327.18M,11.00%
22-Dec-21,1.3271 ,1.2806 ,1.3667 ,1.2762,246.15M,3.64%
21-Dec-21,1.2805 ,1.2366 ,1.2889 ,1.2274,198.29M,3.59%
20-Dec-21,1.2361 ,1.2444 ,1.2600 ,1.202,238.60M,-0.68%
19-Dec-21,1.2445 ,1.2423 ,1.3100 ,1.2404,206.66M,0.18%
18-Dec-21,1.2423 ,1.2183 ,1.2666 ,1.201,196.30M,1.97%
17-Dec-21,1.2183 ,1.2399 ,1.2579 ,1.1848,259.72M,-1.74%
16-Dec-21,1.2399 ,1.3109 ,1.3295 ,1.2383,224.05M,-5.46%
