Date,Price,Open,High,Low,Vol.,Change %
20-Jan-22,461.52 ,462.27 ,478.29 ,459.13 ,901.82K,-0.16%
19-Jan-22,462.28 ,471.21 ,472.80 ,454.09 ,626.89K,-1.89%
18-Jan-22,471.21 ,475.01 ,479.31 ,457.50 ,749.84K,-0.80%
17-Jan-22,475.01 ,498.50 ,498.98 ,467.40 ,805.11K,-4.71%
16-Jan-22,498.50 ,494.49 ,505.59 ,488.90 ,549.92K,0.77%
15-Jan-22,494.67 ,490.00 ,500.80 ,485.30 ,607.71K,0.95%
14-Jan-22,490.00 ,475.12 ,492.08 ,468.29 ,896.28K,3.14%
13-Jan-22,475.09 ,487.04 ,488.90 ,467.09 ,994.44K,-2.45%
12-Jan-22,487.01 ,463.51 ,489.60 ,456.71 ,883.73K,5.08%
11-Jan-22,463.48 ,424.81 ,467.50 ,421.50 ,1.35M,9.10%
10-Jan-22,424.81 ,438.60 ,445.40 ,407.67 ,1.29M,-3.14%
9-Jan-22,438.60 ,429.32 ,444.40 ,427.31 ,751.21K,2.16%
8-Jan-22,429.32 ,447.90 ,459.30 ,417.13 ,1.12M,-4.11%
7-Jan-22,447.71 ,472.89 ,473.70 ,438.20 ,1.38M,-5.33%
6-Jan-22,472.89 ,473.61 ,481.30 ,459.41 ,1.02M,-0.15%
5-Jan-22,473.61 ,506.99 ,515.81 ,459.04 ,1.03M,-6.59%
4-Jan-22,507.00 ,511.70 ,519.70 ,502.40 ,724.32K,-0.92%
3-Jan-22,511.70 ,531.00 ,532.60 ,510.21 ,700.85K,-3.68%
2-Jan-22,531.28 ,527.41 ,533.59 ,518.40 ,435.89K,0.74%
1-Jan-22,527.40 ,511.70 ,527.51 ,511.60 ,478.60K,3.07%
31-Dec-21,511.70 ,518.50 ,528.10 ,507.11 ,726.07K,-1.31%
30-Dec-21,518.50 ,514.50 ,527.60 ,508.81 ,676.81K,0.83%
29-Dec-21,514.22 ,534.21 ,540.40 ,511.20 ,776.59K,-3.74%
28-Dec-21,534.19 ,563.59 ,563.60 ,529.27 ,1.05M,-5.17%
27-Dec-21,563.30 ,546.49 ,571.60 ,543.29 ,844.13K,3.08%
26-Dec-21,546.49 ,547.33 ,549.20 ,536.39 ,579.22K,-0.15%
25-Dec-21,547.33 ,541.78 ,550.40 ,539.67 ,500.45K,1.02%
24-Dec-21,541.78 ,548.70 ,554.12 ,537.96 ,728.05K,-1.26%
23-Dec-21,548.70 ,533.43 ,552.31 ,524.73 ,897.97K,2.86%
22-Dec-21,533.43 ,528.50 ,544.50 ,527.40 ,778.93K,0.93%
21-Dec-21,528.50 ,523.34 ,535.19 ,517.51 ,705.94K,0.99%
20-Dec-21,523.31 ,529.90 ,534.59 ,506.31 ,767.19K,-1.24%
19-Dec-21,529.90 ,534.19 ,544.21 ,527.51 ,575.84K,-0.81%
18-Dec-21,534.20 ,525.90 ,537.69 ,516.70 ,614.60K,1.58%
17-Dec-21,525.90 ,526.01 ,535.42 ,511.30 ,959.71K,-0.02%
16-Dec-21,526.01 ,541.10 ,545.02 ,525.30 ,777.27K,-2.79%
15-Dec-21,541.10 ,528.30 ,546.23 ,502.09 ,1.23M,2.42%
14-Dec-21,528.30 ,520.88 ,535.68 ,510.21 ,1.37M,1.42%
13-Dec-21,520.88 ,570.51 ,572.11 ,512.07 ,1.11M,-8.70%
12-Dec-21,570.51 ,563.24 ,574.01 ,559.51 ,594.62K,1.29%
11-Dec-21,563.24 ,552.53 ,572.16 ,542.33 ,1.02M,1.94%
10-Dec-21,552.53 ,570.77 ,594.92 ,551.46 ,1.19M,-3.20%
9-Dec-21,570.78 ,606.90 ,616.24 ,567.92 ,1.20M,-5.95%
8-Dec-21,606.90 ,578.69 ,607.49 ,567.51 ,1.22M,4.87%
7-Dec-21,578.70 ,588.59 ,593.41 ,572.30 ,1.11M,-1.68%
6-Dec-21,588.59 ,557.61 ,592.61 ,533.30 ,2.16M,5.56%
5-Dec-21,557.60 ,568.60 ,581.81 ,542.72 ,1.30M,-1.94%
4-Dec-21,568.62 ,594.62 ,595.90 ,495.12 ,2.71M,-4.37%
3-Dec-21,594.62 ,620.21 ,627.80 ,576.78 ,1.33M,-4.13%
2-Dec-21,620.21 ,627.32 ,629.72 ,605.61 ,1.17M,-1.13%
1-Dec-21,627.32 ,621.51 ,649.59 ,618.72 ,1.46M,0.66%
30-Nov-21,623.23 ,623.60 ,634.52 ,603.71 ,1.46M,-0.06%
29-Nov-21,623.61 ,611.58 ,628.62 ,601.99 ,1.15M,1.96%
28-Nov-21,611.61 ,600.30 ,612.57 ,573.96 ,1.36M,1.88%
27-Nov-21,600.30 ,587.62 ,621.19 ,584.30 ,1.27M,2.62%
26-Nov-21,584.96 ,639.17 ,657.70 ,564.63 ,2.54M,-8.43%
25-Nov-21,638.79 ,590.61 ,646.51 ,587.72 ,1.62M,8.16%
24-Nov-21,590.61 ,591.10 ,593.89 ,577.40 ,1.14M,-0.12%
23-Nov-21,591.30 ,559.69 ,604.80 ,558.30 ,1.26M,5.65%
22-Nov-21,559.69 ,585.14 ,585.14 ,554.30 ,1.20M,-4.35%
21-Nov-21,585.14 ,604.28 ,604.91 ,580.11 ,1.03M,-3.17%
20-Nov-21,604.28 ,581.00 ,604.70 ,573.58 ,1.18M,3.99%
19-Nov-21,581.09 ,531.89 ,585.39 ,524.70 ,1.38M,9.11%
18-Nov-21,532.56 ,578.30 ,587.90 ,517.13 ,1.82M,-7.91%
17-Nov-21,578.31 ,588.91 ,592.50 ,554.64 ,1.55M,-1.80%
16-Nov-21,588.91 ,633.81 ,634.51 ,574.03 ,2.30M,-7.04%
15-Nov-21,633.51 ,650.80 ,659.20 ,631.30 ,992.20K,-2.66%
14-Nov-21,650.80 ,649.50 ,660.20 ,634.81 ,987.16K,0.20%
13-Nov-21,649.50 ,626.92 ,654.70 ,620.80 ,944.98K,3.60%
12-Nov-21,626.91 ,627.91 ,634.50 ,603.90 ,1.07M,-0.30%
11-Nov-21,628.80 ,614.80 ,634.80 ,606.01 ,1.07M,2.28%
10-Nov-21,614.81 ,634.90 ,662.60 ,575.72 ,1.89M,-3.06%
9-Nov-21,634.24 ,653.79 ,656.68 ,632.11 ,930.88K,-2.99%
8-Nov-21,653.79 ,649.50 ,655.49 ,631.70 ,1.35M,0.66%
7-Nov-21,649.50 ,636.30 ,668.80 ,630.91 ,1.54M,2.07%
6-Nov-21,636.30 ,607.31 ,636.30 ,595.99 ,1.43M,4.77%
5-Nov-21,607.31 ,558.70 ,614.61 ,554.42 ,2.12M,8.61%
4-Nov-21,559.16 ,568.48 ,568.69 ,543.82 ,1.15M,-1.63%
3-Nov-21,568.40 ,554.28 ,569.87 ,537.61 ,1.38M,2.55%
2-Nov-21,554.28 ,551.50 ,563.70 ,537.62 ,1.28M,0.50%
1-Nov-21,551.53 ,524.65 ,551.91 ,511.74 ,1.44M,5.16%
31-Oct-21,524.46 ,528.20 ,534.89 ,509.32 ,1.16M,-0.71%
30-Oct-21,528.20 ,529.61 ,540.31 ,512.18 ,1.19M,-0.25%
29-Oct-21,529.52 ,492.09 ,533.60 ,488.99 ,1.57M,7.61%
28-Oct-21,492.09 ,448.70 ,494.69 ,446.60 ,1.69M,9.67%
27-Oct-21,448.69 ,478.02 ,486.29 ,438.55 ,1.51M,-6.13%
26-Oct-21,478.01 ,484.91 ,489.58 ,474.17 ,795.25K,-1.42%
25-Oct-21,484.91 ,475.70 ,488.58 ,474.82 ,720.34K,1.92%
24-Oct-21,475.80 ,485.41 ,486.42 ,468.02 ,668.75K,-1.98%
23-Oct-21,485.41 ,478.83 ,485.41 ,472.91 ,597.10K,1.38%
22-Oct-21,478.83 ,470.92 ,497.89 ,470.92 ,1.23M,1.64%
21-Oct-21,471.10 ,501.30 ,504.79 ,467.26 ,2.02M,-5.99%
20-Oct-21,501.11 ,488.10 ,505.62 ,482.35 ,1.05M,2.67%
19-Oct-21,488.10 ,485.00 ,497.40 ,481.10 ,1.01M,0.64%
18-Oct-21,485.00 ,470.91 ,487.20 ,467.22 ,1.20M,3.04%
17-Oct-21,470.71 ,465.12 ,472.40 ,455.77 ,978.52K,1.20%
16-Oct-21,465.12 ,474.31 ,484.40 ,462.43 ,1.14M,-1.94%
15-Oct-21,474.31 ,472.42 ,477.41 ,452.85 ,1.64M,0.40%
14-Oct-21,472.42 ,470.41 ,482.59 ,461.80 ,1.56M,0.43%
13-Oct-21,470.41 ,444.39 ,471.60 ,434.08 ,3.59M,6.03%
12-Oct-21,443.65 ,413.39 ,444.01 ,392.49 ,2.12M,7.32%
11-Oct-21,413.38 ,404.19 ,423.86 ,400.42 ,836.99K,2.27%
10-Oct-21,404.19 ,421.72 ,422.18 ,402.41 ,802.32K,-4.15%
9-Oct-21,421.69 ,418.70 ,425.88 ,416.51 ,695.80K,0.71%
8-Oct-21,418.70 ,438.21 ,441.59 ,416.00 ,1.65M,-4.45%
7-Oct-21,438.21 ,434.79 ,449.89 ,424.11 ,1.28M,0.76%
6-Oct-21,434.88 ,442.19 ,442.79 ,414.91 ,1.36M,-1.66%
5-Oct-21,442.21 ,426.39 ,443.90 ,424.21 ,973.60K,3.69%
4-Oct-21,426.48 ,430.32 ,430.87 ,411.61 ,1.07M,-0.89%
3-Oct-21,430.32 ,427.18 ,436.89 ,422.34 ,936.53K,0.73%
2-Oct-21,427.22 ,421.31 ,438.00 ,410.80 ,1.22M,1.40%
1-Oct-21,421.31 ,387.59 ,423.30 ,381.79 ,1.57M,8.70%
30-Sep-21,387.59 ,367.49 ,388.49 ,366.49 ,1.25M,5.47%
29-Sep-21,367.51 ,332.91 ,375.01 ,331.57 ,1.85M,10.38%
28-Sep-21,332.94 ,335.32 ,344.41 ,330.01 ,1.02M,-0.71%
27-Sep-21,335.32 ,344.52 ,357.50 ,335.30 ,1.04M,-2.67%
26-Sep-21,344.53 ,349.51 ,352.62 ,320.10 ,1.69M,-1.43%
25-Sep-21,349.51 ,355.10 ,360.49 ,343.72 ,967.04K,-1.57%
24-Sep-21,355.10 ,383.53 ,384.99 ,334.67 ,1.79M,-7.44%
23-Sep-21,383.63 ,378.82 ,384.49 ,369.21 ,1.04M,1.27%
22-Sep-21,378.83 ,343.36 ,379.89 ,342.42 ,1.15M,10.35%
21-Sep-21,343.30 ,364.17 ,375.69 ,337.35 ,1.71M,-5.58%
20-Sep-21,363.60 ,408.39 ,409.60 ,355.33 ,2.02M,-10.97%
19-Sep-21,408.39 ,410.70 ,418.95 ,403.45 ,819.71K,-0.56%
18-Sep-21,410.70 ,406.22 ,419.87 ,401.63 ,810.07K,1.11%
17-Sep-21,406.21 ,424.22 ,425.79 ,401.37 ,923.27K,-4.24%
16-Sep-21,424.22 ,431.20 ,433.90 ,415.99 ,1.12M,-1.60%
15-Sep-21,431.10 ,414.29 ,436.39 ,410.10 ,1.27M,4.06%
14-Sep-21,414.29 ,399.00 ,414.29 ,396.11 ,997.13K,3.83%
13-Sep-21,399.00 ,416.98 ,419.39 ,385.32 ,1.62M,-4.31%
12-Sep-21,416.99 ,405.10 ,421.29 ,398.00 ,1.03M,2.94%
11-Sep-21,405.10 ,401.10 ,415.09 ,399.52 ,967.25K,1.00%
10-Sep-21,401.10 ,421.20 ,438.89 ,393.91 ,1.59M,-4.77%
9-Sep-21,421.20 ,414.61 ,435.59 ,404.11 ,1.60M,1.59%
8-Sep-21,414.60 ,417.32 ,425.48 ,383.71 ,2.17M,-0.65%
7-Sep-21,417.31 ,496.11 ,504.58 ,373.12 ,3.54M,-15.88%
6-Sep-21,496.11 ,504.49 ,508.86 ,487.85 ,1.18M,-1.66%
5-Sep-21,504.49 ,497.40 ,505.17 ,488.91 ,926.28K,1.43%
4-Sep-21,497.40 ,488.49 ,509.75 ,485.62 ,1.31M,1.88%
3-Sep-21,488.20 ,483.84 ,494.49 ,473.55 ,1.15M,0.90%
2-Sep-21,483.84 ,489.39 ,504.56 ,478.16 ,1.29M,-1.21%
1-Sep-21,489.78 ,464.29 ,489.98 ,455.51 ,1.36M,5.49%
31-Aug-21,464.29 ,460.10 ,477.08 ,452.50 ,1.52M,0.91%
30-Aug-21,460.10 ,479.82 ,480.87 ,457.43 ,1.16M,-4.07%
29-Aug-21,479.63 ,486.00 ,495.47 ,476.81 ,945.02K,-1.31%
28-Aug-21,486.01 ,494.48 ,496.78 ,482.71 ,925.23K,-1.71%
27-Aug-21,494.48 ,477.83 ,494.88 ,467.52 ,1.60M,3.48%
26-Aug-21,477.83 ,503.44 ,518.58 ,472.73 ,2.29M,-5.09%
25-Aug-21,503.44 ,471.95 ,506.84 ,470.14 ,2.30M,6.67%
24-Aug-21,471.95 ,499.79 ,504.05 ,461.33 ,2.14M,-5.57%
23-Aug-21,499.79 ,448.68 ,508.85 ,447.02 ,2.72M,11.39%
22-Aug-21,448.68 ,448.64 ,458.23 ,438.03 ,1.17M,0.01%
21-Aug-21,448.64 ,454.89 ,459.99 ,444.81 ,1.47M,-1.37%
20-Aug-21,454.87 ,431.42 ,457.54 ,421.98 ,1.73M,5.44%
19-Aug-21,431.42 ,396.44 ,431.42 ,391.07 ,1.89M,8.81%
18-Aug-21,396.48 ,401.94 ,412.07 ,386.69 ,1.81M,-1.36%
17-Aug-21,401.94 ,416.08 ,435.64 ,399.39 ,2.04M,-3.40%
16-Aug-21,416.08 ,414.10 ,436.64 ,411.06 ,1.90M,0.48%
15-Aug-21,414.10 ,408.91 ,414.88 ,396.65 ,1.28M,1.27%
14-Aug-21,408.91 ,410.89 ,418.76 ,400.43 ,1.49M,-0.48%
13-Aug-21,410.90 ,385.51 ,411.03 ,383.00 ,1.30M,6.59%
12-Aug-21,385.51 ,391.48 ,406.08 ,371.80 ,1.90M,-1.52%
11-Aug-21,391.48 ,371.90 ,408.17 ,371.12 ,1.97M,5.26%
10-Aug-21,371.90 ,354.50 ,376.20 ,348.97 ,1.71M,4.91%
9-Aug-21,354.50 ,341.83 ,357.34 ,333.53 ,1.33M,3.70%
8-Aug-21,341.83 ,356.18 ,359.78 ,337.08 ,1.32M,-4.06%
7-Aug-21,356.28 ,342.08 ,359.58 ,340.65 ,1.59M,4.15%
6-Aug-21,342.08 ,337.88 ,347.00 ,331.43 ,1.31M,1.24%
5-Aug-21,337.88 ,334.89 ,339.91 ,323.71 ,1.30M,0.89%
4-Aug-21,334.89 ,323.39 ,337.04 ,319.97 ,1.01M,3.62%
3-Aug-21,323.19 ,330.86 ,334.61 ,317.70 ,1.18M,-2.32%
2-Aug-21,330.86 ,332.76 ,338.06 ,326.39 ,1.15M,-0.58%
1-Aug-21,332.78 ,332.32 ,347.44 ,329.82 ,1.70M,0.11%
31-Jul-21,332.41 ,322.61 ,337.95 ,317.64 ,1.55M,3.03%
30-Jul-21,322.63 ,316.72 ,325.26 ,306.75 ,1.45M,1.87%
29-Jul-21,316.72 ,313.76 ,319.97 ,309.08 ,1.13M,0.94%
28-Jul-21,313.76 ,313.69 ,318.59 ,308.53 ,1.47M,0.03%
27-Jul-21,313.67 ,304.31 ,318.25 ,298.53 ,1.89M,3.08%
26-Jul-21,304.31 ,302.60 ,327.62 ,301.19 ,2.86M,0.58%
25-Jul-21,302.57 ,302.55 ,303.09 ,292.85 ,1.25M,-0.19%
24-Jul-21,303.15 ,298.91 ,305.01 ,296.16 ,1.81M,1.42%
23-Jul-21,298.89 ,293.51 ,301.15 ,281.68 ,1.98M,1.83%
22-Jul-21,293.53 ,293.08 ,297.69 ,287.55 ,1.47M,0.15%
21-Jul-21,293.08 ,264.59 ,298.69 ,261.51 ,2.18M,10.77%
20-Jul-21,264.59 ,280.48 ,283.25 ,255.79 ,2.25M,-5.66%
19-Jul-21,280.47 ,302.16 ,303.49 ,279.38 ,1.63M,-7.18%
18-Jul-21,302.18 ,300.34 ,309.00 ,299.60 ,1.03M,0.62%
17-Jul-21,300.31 ,302.88 ,306.41 ,295.11 ,1.31M,-0.84%
16-Jul-21,302.84 ,315.62 ,323.21 ,301.85 ,1.77M,-4.04%
15-Jul-21,315.58 ,309.49 ,324.15 ,301.92 ,2.49M,1.98%
14-Jul-21,309.45 ,308.96 ,313.29 ,290.93 ,1.65M,0.15%
13-Jul-21,308.98 ,316.15 ,318.16 ,305.35 ,1.08M,-2.27%
12-Jul-21,316.17 ,321.91 ,334.34 ,308.77 ,1.52M,-1.77%
11-Jul-21,321.88 ,316.07 ,326.55 ,312.28 ,929.54K,1.84%
10-Jul-21,316.07 ,316.77 ,321.20 ,310.82 ,958.95K,-0.22%
9-Jul-21,316.77 ,310.52 ,319.48 ,302.28 ,1.28M,2.01%
8-Jul-21,310.52 ,327.65 ,328.17 ,307.04 ,1.89M,-5.24%
7-Jul-21,327.68 ,320.01 ,339.36 ,318.33 ,2.02M,2.39%
6-Jul-21,320.02 ,302.01 ,321.89 ,301.95 ,2.34M,5.86%
5-Jul-21,302.31 ,307.88 ,307.88 ,292.40 ,1.62M,-1.81%
4-Jul-21,307.88 ,299.25 ,314.73 ,299.10 ,1.50M,2.88%
3-Jul-21,299.25 ,287.37 ,302.93 ,283.06 ,1.11M,4.13%
2-Jul-21,287.38 ,287.64 ,290.58 ,276.78 ,1.18M,-0.09%
1-Jul-21,287.63 ,303.24 ,303.41 ,281.40 ,1.62M,-5.15%
30-Jun-21,303.25 ,299.88 ,304.71 ,281.84 ,2.36M,1.12%
29-Jun-21,299.88 ,289.85 ,315.04 ,289.27 ,2.43M,3.47%
28-Jun-21,289.83 ,290.87 ,298.93 ,283.91 ,2.16M,-0.35%
27-Jun-21,290.86 ,279.45 ,291.08 ,270.00 ,1.79M,4.08%
26-Jun-21,279.45 ,281.15 ,290.05 ,264.47 ,2.63M,-0.60%
25-Jun-21,281.13 ,308.57 ,314.08 ,275.62 ,3.26M,-8.81%
24-Jun-21,308.31 ,296.13 ,316.20 ,281.74 ,3.12M,4.11%
23-Jun-21,296.14 ,261.47 ,309.45 ,251.90 ,4.07M,13.27%
22-Jun-21,261.45 ,271.81 ,290.65 ,225.93 ,6.75M,-3.80%
21-Jun-21,271.80 ,339.09 ,341.52 ,269.45 ,4.55M,-19.94%
20-Jun-21,339.47 ,334.15 ,340.38 ,310.54 ,1.99M,1.58%
19-Jun-21,334.19 ,336.71 ,344.33 ,331.88 ,1.33M,-0.74%
18-Jun-21,336.67 ,352.66 ,357.03 ,327.39 ,1.95M,-4.53%
17-Jun-21,352.64 ,347.14 ,362.36 ,346.18 ,1.53M,1.58%
16-Jun-21,347.15 ,366.77 ,366.77 ,343.49 ,1.89M,-5.35%
15-Jun-21,366.78 ,370.08 ,379.49 ,363.84 ,1.90M,-0.89%
14-Jun-21,370.06 ,365.83 ,377.02 ,355.23 ,2.42M,1.16%
13-Jun-21,365.83 ,343.26 ,369.00 ,330.64 ,2.39M,6.58%
12-Jun-21,343.23 ,345.59 ,348.75 ,325.63 ,2.55M,-0.65%
11-Jun-21,345.46 ,351.46 ,365.51 ,341.53 ,2.71M,-1.70%
10-Jun-21,351.43 ,375.53 ,376.81 ,344.96 ,2.96M,-6.36%
9-Jun-21,375.29 ,352.54 ,378.44 ,333.69 ,4.24M,6.42%
8-Jun-21,352.64 ,358.05 ,365.89 ,320.39 ,5.99M,-1.52%
7-Jun-21,358.08 ,393.23 ,406.99 ,354.55 ,3.60M,-8.93%
6-Jun-21,393.20 ,390.09 ,399.82 ,382.07 ,2.27M,0.80%
5-Jun-21,390.09 ,390.68 ,425.57 ,374.62 ,4.79M,-0.23%
4-Jun-21,390.97 ,428.47 ,428.71 ,366.56 ,5.92M,-8.56%
3-Jun-21,427.59 ,401.13 ,432.58 ,391.83 ,5.06M,6.60%
2-Jun-21,401.12 ,362.39 ,417.41 ,351.19 ,5.26M,10.69%
1-Jun-21,362.39 ,353.63 ,364.16 ,340.56 ,4.42M,2.45%
31-May-21,353.74 ,325.60 ,355.43 ,307.90 ,4.97M,8.65%
30-May-21,325.59 ,304.81 ,337.77 ,291.72 ,4.52M,6.83%
29-May-21,304.76 ,329.31 ,346.88 ,296.43 ,4.57M,-7.45%
28-May-21,329.31 ,369.79 ,373.28 ,313.42 ,6.31M,-10.38%
27-May-21,367.46 ,379.20 ,387.17 ,340.81 ,5.18M,-3.10%
26-May-21,379.22 ,343.76 ,387.25 ,337.40 ,5.82M,10.31%
25-May-21,343.77 ,345.44 ,374.86 ,307.55 ,7.93M,-0.36%
24-May-21,345.02 ,261.56 ,349.89 ,257.97 ,8.07M,31.90%
23-May-21,261.57 ,299.25 ,312.85 ,212.41 ,9.23M,-12.59%
