Date,Price,Open,High,Low,Vol.,Change %
20-Jan-22,41947.80 ,41683.60 ,42222.80 ,41658.90 ,41.67K,0.65%
19-Jan-22,41677.80 ,42365.30 ,42558.00 ,41160.90 ,53.77K,-1.62%
18-Jan-22,42364.60 ,42209.90 ,42674.20 ,41300.70 ,47.32K,0.37%
17-Jan-22,42209.30 ,43080.50 ,43179.60 ,41559.40 ,41.44K,-2.02%
16-Jan-22,43079.10 ,43079.20 ,43462.00 ,42643.30 ,28.66K,-0.04%
15-Jan-22,43097.00 ,43073.60 ,43777.90 ,42586.10 ,31.44K,0.06%
14-Jan-22,43073.30 ,42562.20 ,43435.10 ,41848.70 ,50.50K,1.21%
13-Jan-22,42560.00 ,43900.00 ,44404.70 ,42337.50 ,53.42K,-3.05%
12-Jan-22,43901.00 ,42735.00 ,44243.60 ,42476.70 ,53.95K,2.73%
11-Jan-22,42733.20 ,41829.10 ,43090.20 ,41287.60 ,61.78K,2.15%
10-Jan-22,41832.20 ,41848.90 ,42243.80 ,39697.00 ,85.50K,-0.04%
9-Jan-22,41848.30 ,41681.20 ,42764.40 ,41260.90 ,37.51K,0.42%
8-Jan-22,41672.00 ,41551.30 ,42304.40 ,40574.30 ,52.54K,0.30%
7-Jan-22,41546.70 ,43097.90 ,43127.70 ,40810.00 ,88.36K,-3.60%
6-Jan-22,43097.50 ,43431.60 ,43772.30 ,42481.10 ,63.08K,-0.76%
5-Jan-22,43425.90 ,45833.10 ,47019.40 ,42535.10 ,83.74K,-5.26%
4-Jan-22,45837.30 ,46435.70 ,47505.40 ,45602.10 ,55.59K,-1.28%
3-Jan-22,46430.20 ,47293.90 ,47556.00 ,45704.00 ,41.06K,-1.86%
2-Jan-22,47311.80 ,47738.70 ,47944.90 ,46718.20 ,27.02K,-0.89%
1-Jan-22,47738.00 ,46217.50 ,47917.60 ,46217.50 ,31.24K,3.29%
31-Dec-21,46219.50 ,47123.30 ,48553.90 ,45693.60 ,58.18K,-1.92%
30-Dec-21,47123.30 ,46470.70 ,47901.40 ,46003.00 ,60.96K,1.42%
29-Dec-21,46461.70 ,47548.40 ,48121.70 ,46127.80 ,63.92K,-2.28%
28-Dec-21,47545.20 ,50703.40 ,50703.80 ,47345.70 ,74.39K,-6.18%
27-Dec-21,50678.20 ,50783.60 ,52016.30 ,50459.00 ,43.90K,-0.20%
26-Dec-21,50779.90 ,50404.00 ,51247.00 ,49527.00 ,32.34K,0.74%
25-Dec-21,50406.40 ,50789.60 ,51140.20 ,50196.80 ,26.67K,-0.75%
24-Dec-21,50786.10 ,50807.40 ,51795.30 ,50428.40 ,45.97K,-0.03%
23-Dec-21,50801.00 ,48599.60 ,51355.60 ,48053.40 ,56.24K,4.53%
22-Dec-21,48599.70 ,48898.70 ,49540.30 ,48449.70 ,40.89K,-0.62%
21-Dec-21,48902.00 ,46900.10 ,49306.10 ,46654.00 ,57.88K,4.28%
20-Dec-21,46895.20 ,46703.40 ,47488.90 ,45577.30 ,57.53K,0.41%
19-Dec-21,46704.50 ,46855.70 ,48270.20 ,46438.40 ,44.05K,-0.32%
18-Dec-21,46856.20 ,46171.80 ,47330.20 ,45513.40 ,36.93K,1.48%
17-Dec-21,46172.20 ,47630.40 ,47997.20 ,45523.80 ,67.50K,-3.06%
16-Dec-21,47628.20 ,48876.60 ,49387.80 ,47543.90 ,48.20K,-2.54%
15-Dec-21,48871.50 ,48366.20 ,49477.90 ,46572.60 ,80.28K,1.04%
14-Dec-21,48366.50 ,46709.80 ,48635.00 ,46338.30 ,62.54K,3.56%
13-Dec-21,46703.60 ,50075.90 ,50196.10 ,45848.20 ,80.37K,-6.74%
12-Dec-21,50081.00 ,49332.50 ,50779.20 ,48670.50 ,40.30K,1.55%
11-Dec-21,49314.50 ,47138.40 ,49487.00 ,46834.00 ,45.23K,4.62%
10-Dec-21,47137.20 ,47591.70 ,49974.80 ,47007.10 ,68.06K,-0.97%
9-Dec-21,47596.60 ,50477.60 ,50790.20 ,47341.90 ,58.69K,-5.70%
8-Dec-21,50473.90 ,50596.60 ,51204.70 ,48700.70 ,55.59K,-0.24%
7-Dec-21,50595.20 ,50547.40 ,51918.60 ,50070.90 ,56.29K,0.07%
6-Dec-21,50562.10 ,49412.10 ,50913.30 ,47237.90 ,89.68K,2.34%
5-Dec-21,49405.50 ,49196.40 ,49689.30 ,47797.80 ,72.03K,0.43%
4-Dec-21,49195.20 ,53620.70 ,53847.20 ,42587.80 ,168.00K,-8.27%
3-Dec-21,53631.50 ,56495.20 ,57543.60 ,52008.90 ,89.20K,-5.07%
2-Dec-21,56496.00 ,57207.80 ,57377.50 ,55807.90 ,54.94K,-1.25%
1-Dec-21,57210.30 ,56891.70 ,59064.30 ,56496.50 ,66.75K,0.58%
30-Nov-21,56882.90 ,57795.20 ,59174.40 ,55936.90 ,73.66K,-1.58%
29-Nov-21,57794.80 ,57288.10 ,58855.20 ,56726.70 ,58.65K,0.88%
28-Nov-21,57291.50 ,54758.00 ,57392.30 ,53448.30 ,49.28K,4.61%
27-Nov-21,54765.90 ,53747.20 ,55280.30 ,53654.30 ,40.71K,1.93%
26-Nov-21,53730.90 ,58937.30 ,59151.10 ,53533.50 ,104.03K,-8.83%
25-Nov-21,58935.10 ,57167.10 ,59387.30 ,57029.80 ,56.79K,3.08%
24-Nov-21,57171.70 ,57559.40 ,57697.40 ,55910.60 ,56.68K,-0.70%
23-Nov-21,57573.20 ,56304.80 ,57855.10 ,55542.50 ,72.48K,2.25%
22-Nov-21,56308.80 ,58719.70 ,59288.30 ,55656.80 ,76.45K,-4.10%
21-Nov-21,58714.30 ,59724.00 ,60002.60 ,58528.30 ,40.98K,-1.68%
20-Nov-21,59717.60 ,58080.80 ,59854.60 ,57435.30 ,44.53K,2.81%
19-Nov-21,58083.40 ,56908.30 ,58335.90 ,55626.30 ,74.44K,1.98%
18-Nov-21,56955.30 ,60368.20 ,60936.90 ,56524.40 ,100.37K,-5.65%
17-Nov-21,60367.80 ,60074.20 ,60814.50 ,58531.90 ,73.93K,0.46%
16-Nov-21,60089.10 ,63605.10 ,63605.60 ,58655.90 ,115.36K,-5.52%
15-Nov-21,63597.90 ,65514.90 ,66311.20 ,63439.50 ,53.53K,-2.92%
14-Nov-21,65508.20 ,64397.20 ,65508.20 ,63608.30 ,33.98K,1.72%
13-Nov-21,64398.60 ,64133.30 ,64906.00 ,63381.40 ,30.34K,0.41%
12-Nov-21,64134.50 ,64782.60 ,65449.70 ,62309.70 ,63.27K,-1.04%
11-Nov-21,64806.70 ,64922.80 ,65583.30 ,64121.90 ,50.37K,-0.19%
10-Nov-21,64932.60 ,66942.60 ,68990.60 ,62951.30 ,96.21K,-2.95%
9-Nov-21,66904.40 ,67528.70 ,68493.30 ,66334.90 ,66.13K,-0.92%
8-Nov-21,67527.90 ,63276.40 ,67763.30 ,63276.40 ,81.08K,6.72%
7-Nov-21,63273.20 ,61483.80 ,63273.20 ,61347.20 ,34.34K,2.91%
6-Nov-21,61483.90 ,60973.20 ,61543.20 ,60093.60 ,34.89K,0.84%
5-Nov-21,60974.30 ,61411.50 ,62560.30 ,60742.40 ,44.46K,-0.71%
4-Nov-21,61412.60 ,62915.40 ,63077.60 ,60742.90 ,49.91K,-2.39%
3-Nov-21,62918.50 ,63223.50 ,63508.60 ,60883.00 ,61.05K,-0.48%
2-Nov-21,63221.70 ,60912.20 ,64256.40 ,60651.50 ,65.26K,3.79%
1-Nov-21,60915.30 ,61310.10 ,62430.10 ,59612.70 ,61.21K,-0.64%
31-Oct-21,61309.60 ,61842.20 ,62393.70 ,60005.70 ,50.06K,-0.86%
30-Oct-21,61840.10 ,62245.00 ,62338.50 ,60786.00 ,40.51K,-0.65%
29-Oct-21,62242.80 ,60579.90 ,62952.20 ,60322.20 ,63.39K,2.74%
28-Oct-21,60582.50 ,58437.20 ,62251.30 ,58128.10 ,88.47K,3.67%
27-Oct-21,58438.10 ,60312.50 ,61452.90 ,58112.60 ,88.11K,-3.11%
26-Oct-21,60310.80 ,63067.50 ,63275.10 ,59907.30 ,57.13K,-4.37%
25-Oct-21,63067.00 ,60864.30 ,63694.80 ,60655.80 ,51.06K,3.62%
24-Oct-21,60866.50 ,61308.20 ,61469.90 ,59523.70 ,42.67K,-0.73%
